Date,Category,Product Name,Product Color,ID,Original Price,Sale Price,Promotion,Extra Promotion
12/7/2019,Mens Coats & Jackets,Sherpa-Lined Denim Jacket,Medium Wash,37348698,$140 ,,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
12/7/2019,Mens Coats & Jackets,Denim Jacket,Dark Wash,27575825,$110 ,$77 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
12/7/2019,Mens Coats & Jackets,Sherpa Collar Bomber Jacket,Navy Blue,38035946,$150 ,$105 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
12/7/2019,Mens Coats & Jackets,Ultra Puffer,Dark Grey,38711438,$198 ,$99 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
12/7/2019,Mens Coats & Jackets,Quilted Shirt Jacket,Black,38711450,$98 ,$69 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,
12/7/2019,Mens Coats & Jackets,Ultra Puffer,Olive Green,38711440,$198 ,$99 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
12/7/2019,Mens Coats & Jackets,Sherpa-Lined Ultra Puffer,Cream,38711442,$260 ,$99 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,
12/7/2019,Mens Coats & Jackets,Quilted Shirt Jacket,Navy Blue,38711449,$98 ,$69 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,
12/7/2019,Mens Coats & Jackets,Military Bomber Jacket,Olive Green,37348700,$140 ,$84 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
12/7/2019,Mens Coats & Jackets,A&F Climate Tech Jacket,White And Black,35010386,$160 ,$80 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
12/7/2019,Mens Coats & Jackets,Sherpa-Lined Trucker Jacket,Medium Wash,38327320,$140 ,,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
12/7/2019,Mens Coats & Jackets,Sherpa Collar Bomber Jacket,Olive Green,38035947,$150 ,$105 ,Limited Time: Sale Up to 50% Off + Extra 25% Off + Free Shipping on All Orders,Extra 25% Off In Bag
